
Season,Episode,Title,Director,Director_Gender,Writen_By,Writers_Gender,Bechdel_Test,Test_Outcome,Context 
2,13,"Such Sweet Sorrow Part 1","Olatunde Osunsanmi",Male,"Michelle Paradise & Jenny Lumet & Alex Kurtzman",Male - Female (2),0,Fail,(Burnham & Georgiou talk about Leland)(Burnham + Reno + Tilly & Me Hani Ika Hali Ka Po)
2,14,"Such Sweet Sorrow Part 2","Olatunde Osunsanmi",Male,"Michelle Paradise & Jenny Lumet & Alex Kurtzman",Male - Female (2),0,Fail,Null


3,1,"That Hope Is You, Part 1","Olatunde Osunsanmi",Male,"Michelle Paradise & Jenny Lumet & Alex Kurtzman",Male - Female (2),0,Fail,Null
3,2,"Far from Home","Olatunde Osunsanmi",Male,"Michelle Paradise & Jenny Lumet & Alex Kurtzman",Male - Female (2),1,Pass,(Burnham + Tilly + Nhan)(Nhan & Georgiou)
3,3,"People of Earth","Jonathan Frakes",Male,"Bo Yeon Kim & Erika Lippoldt",Female (2),1,Pass,(Burnham & Tilly)(Georgiou & Burnham)
3,4,"Forget Me Not","Hanelle M. Culpepper",Female,"Alan McElroy & Chris Silvestri & Anthony Maranville",Male,1,Pass,(Adira* & Burnham + Dr.Pollard)(Burnham & Adira*)
3,5,"Die Trying","Maja Vrvilo",Female,"James Duff & Sean Cochran",Male,1,Pass,(Burnham & Willa)(Georgiou & female holograms)(Burnham + Nhan + Willa)(Tilly + Reno + Willa + Burnham)(Burnham & Nhan)
3,6,"Scavengers","Douglas Aarniokoski",Male,"Anne Cofell Saunders",Female,0,Fail,(Burnham & Georgiou talk about Saru and Booker)(Burnham & Georgiou)
3,7,"Unification III","Jon Dudkowski",Male,"Kirsten Beyer",Female,1,Pass,(Burnham & Tilly)(Burnham & T'Rina)(Burnham & Mother)
3,8,"The Sanctuary","Jonathan Frakes",Male,"Kenneth Lin & Brandon Schultz",Male,1,Pass,(Burnham & Georgiou)(Georgiou & Dr.Pollard)
3,9,"Terra Firma","Omar Madha",Male,"Bo Yeon Kim & Erika Lippoldt & Alan McElroy",Male - Female (2),1,Pass,(Burnham + Georgiou + Tilly)(Georgiou & Tilly)
3,10,"Terra Firma","Omar Madha",Male,"Kalinda Vazquez",Female,1,Pass,(Burnham & Georgiou)(Georgiou & Tilly)
3,11,"Su'Kal","Norma Bailey",Female,"Anne Cofell Saunders",Female,1,Pass,(Burnham & Tilly)(Tilly & Osyraa)
3,12,"There Is a Tide...","Jonathan Frakes",Male,"Kenneth Lin",Male,1,Pass,(Osyraa & female)(Tilly & female crew)
3,13,"That Hope Is You, Part 2","Olatunde Osunsanmi",Male,"Michelle Paradise",Female,1,Pass,(Burnham & Osyraa)(Tilly & Owo)(Owo & Detmer)
